Product Name,Description,Domain
"LOGISTICS | MULTI ROLE DRONE (LMRD)","Interconnected cooperative drones capable of working together to overwhelm challenging tasks. Features include tear gas grenade drop, supply of medical equipment and ammunition, audio communication, area illumination, thermal surveillance, autonomous navigation, pan tilt zoom camera, and high pressure landing/take off.",Defence
"LOITERING MUNITION DRONE (LMD)","Munition dropping drone — riot control drone is a compact drone with a specific objective. Features include targeted impact, autonomous surveillance mission, and suicidal autonomous mission.",Defence
"INTERCEPTOR ANTI DRONES","Aimed to intercept rogue drones. Capabilities include close vicinity surveillance, kinetic strikes, drone interception, and decoys.",Defence
"ROOM INTERVENTION POCKET DRONE (RIPD)","Compact reconnaissance drone with ability to fly in GPS-denied regions. FPV view can be used for high dexterity manoeuvres or room intervention. Features include indoor navigation & surveillance and kinetic strikes.",Defence
"MULTI ROLE DRONE","Interconnected cooperative drones capable of working together to execute complex missions and dominate high-risk environments with precision and intelligence. Features include tear gas grenade drop, medical & ammunition supply delivery, audio communication, area illumination, thermal surveillance, autonomous navigation, pan tilt zoom camera surveillance, and high pressure landing/take-off.",Defence
"SWARM DRONES","Swarm drones operate as an intelligent interconnected network enabling coordinated mission execution through real-time communication, adaptive decision-making, and distributed control across multiple autonomous units. Key features include coordinated autonomous operation, real-time drone-to-drone communication, distributed task allocation, scalable multi-drone deployment, self-healing network, large area coverage, and collective decision making.",Defence
"ROOM INTERVENTION ROBOT (RIR)","Medium-weight unmanned all-terrain reconnaissance platform designed for deep penetration, surveillance, and ammunition support in hostile compromised and indoor environments. Features include reconnaissance, GPR enabled mine detection, explosive ordnance detection, cover fire support, and ammunition supply capability.",Defence
"SURVEILLANCE EVACUATION ARMED ROBOT (SEAR)","Heavy weight all-terrain unmanned rescue platform capable of evacuation, surveillance and providing a versatile multi-utility platform in hostile environment. Features include drone remote platform, reconnaissance, casualty evacuation during ambush, road clearance, explosive ordinance detection, cover fire, and supply of ammunition.",Defence
"AI ENABLED DRONE TRACKING SYSTEM","Advanced AI-powered anti-drone system that detects classifies and tracks aerial drones with continuous low-latency monitoring for perimeter security and threat neutralization. Features include multi-sensor detection (Radar, RF, EO/IR), AI classification and threat scoring, 360-degree coverage and auto tracking, and soft kill/hard kill integration.",Defence
"C3i - COMMAND CONTROL COMMUNICATE","AI based evidence management providing efficient critical data management including selective search and data mining. Features include selective face search, time logged data search, video recording, and pattern recognition.",Defence
